Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"M Cicconet","The Guitar as a Human-Computer Interface",2010,"","impa.br","https://impa.br/~cicconet/thesis/CicconetThesis.pdf","https://scholar.google.com/scholar?cites=17230819630606003924&as_sdt=2005&sciodt=2007&hl=en",11,"2025-12-14 08:01:17","PDF","","","",,,,,4,0.27,4,1,15,"… Instead we apply a Supervised Machine Learning technique to train the machine with the … Supervised Machine Learning techniques. We decided not to perform such evaluation for this …","https://impa.br/~cicconet/thesis/CicconetThesis.pdf","https://scholar.google.com/scholar?q=related:1C4ZRykrIO8J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
6,"T Schmitz, JJ Embrechts","Objective and subjective comparison of several machine learning techniques applied for the real-time emulation of the guitar amplifier nonlinear behavior",2019,"Audio Engineering Society Convention 146","aes.org","https://www.aes.org/e-lib/download.cfm?ID=20324","https://scholar.google.com/scholar?cites=17129600163306106709&as_sdt=2005&sciodt=2007&hl=en",12,"2025-12-14 08:01:17","","","","",,,,,6,1.00,3,2,6,"… In particular, machine learning techniques have enabled an … a subjective evaluation of the model with a listening-test. … field of machine learning enabling the real-time emulation of guitar …","","https://scholar.google.com/scholar?q=related:VW9VjpeQuO0J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
34,"M Comunità, D Stowell, JD Reiss","Guitar effects recognition and parameter estimation with convolutional neural networks",2020,"arXiv preprint arXiv:2012.03216","arxiv.org","https://arxiv.org/abs/2012.03216","https://scholar.google.com/scholar?cites=8027794776616852235&as_sdt=2005&sciodt=2007&hl=en",13,"2025-12-14 08:01:17","","","","",,,,,34,6.80,11,3,5,"… to develop a deep learning model capable of recognising which specific guitar pedal effect … and bass recordings on recognition of 11 different effects: feedback and slapback delay, …","https://arxiv.org/pdf/2012.03216","https://scholar.google.com/scholar?q=related:C9v79dB0aG8J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
4,"MA Borja, JE Camargo","Music software with a Machine Learning-based feedback system as an alternative for initial piano study in children.",2024,"Inteligencia Artificial: Revista …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=11373601&AN=177767898&h=aWACS3qeY3SbzpIFPGFcAIXn9osA7NQjjspwf19zpAEQjs1L78YUIdZmWvrAmfWtlHygQy2t8B9TEUQ%2BNDzvew%3D%3D&crl=c","https://scholar.google.com/scholar?cites=14131634644053177165&as_sdt=2005&sciodt=2007&hl=en",14,"2025-12-14 08:01:17","","","","",,,,,4,4.00,2,2,1,"… For the implementation of the feedback system, it was necessary to find the most appropriate Machine Learning classifier for the objective of this stage. For this, a comparison was made …","https://scholar.archive.org/work/2mkzydlopzepzan2rgqgdwsz7q/access/wayback/http://journal.iberamia.org/index.php/intartif/article/download/983/213","https://scholar.google.com/scholar?q=related:TbNkDtamHcQJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
4,"WH Lai, SL Wang","Separation of electric guitar sound based on stacked recurrent neural network",2020,"… and Applications of Artificial Intelligence …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9382435/","https://scholar.google.com/scholar?cites=14882478082372107958&as_sdt=2005&sciodt=2007&hl=en",15,"2025-12-14 08:01:17","","","","",,,,,4,0.80,2,2,5,"… The generated extraction results were compared with clean electric guitar sounds. Although the results remained far from complete extractions, the objective performance evaluation …","","https://scholar.google.com/scholar?q=related:tn5TFfcuic4J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
128,"C Kehling, J Abeßer, C Dittmar, G Schuller","Automatic Tablature Transcription of Electric Guitar Recordings by Estimation of Score-and Instrument-Related Parameters.",2014,"DAFx","dafx.de","https://www.dafx.de/paper-archive/2014/dafx14_christian_kehling_automatic_tablature_trans.pdf","https://scholar.google.com/scholar?cites=17485767425435079733&as_sdt=2005&sciodt=2007&hl=en",16,"2025-12-14 08:01:17","PDF","","","",,,,,128,11.64,32,4,11,"… and machine learning techniques. Various publications analyzed … evaluation measures Precision, Recall, F-Measure, and Accuracy. In this section, a novel dataset of electric guitar …","https://www.dafx.de/paper-archive/2014/dafx14_christian_kehling_automatic_tablature_trans.pdf","https://scholar.google.com/scholar?q=related:NZQnctTsqfIJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
15,"CY Wang, PC Chang, JJ Ding, TC Tai, ...","Spectral–temporal receptive field-based descriptors and hierarchical cascade deep belief network for guitar playing technique classification",2020,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9198935/","https://scholar.google.com/scholar?cites=4454776487841314135&as_sdt=2005&sciodt=2007&hl=en",17,"2025-12-14 08:01:17","","","","",,,,,15,3.00,3,5,5,"… features from guitar sounds. This work applies a supervised deep learning approach to classify … The evaluation results are reported in terms of F-score at the clip-level, and the F-score is …","http://vaplab.ee.ncu.edu.tw/english/pcchang/pdf/j59.pdf","https://scholar.google.com/scholar?q=related:VzWL_5yL0j0J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
1,"L COSTALONGA","Biomechanical modelling of guitar performance",2023,"","Edufes","","https://scholar.google.com/scholar?cites=14606593481960416799&as_sdt=2005&sciodt=2007&hl=en",18,"2025-12-14 08:01:17","CITATION","","","",,,,,1,0.50,1,1,2,"","","https://scholar.google.com/scholar?q=related:H2bJ_mELtcoJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
8,"T Schmitz","Nonlinear modeling of the guitar signal chain enabling its real-time emulation",2019,"","orbi.uliege.be","https://orbi.uliege.be/handle/2268/238507","https://scholar.google.com/scholar?cites=3345132216535821177&as_sdt=2005&sciodt=2007&hl=en",19,"2025-12-14 08:01:17","","","","",,,,,8,1.33,8,1,6,"… Evaluation in the frequency domain based on spectrograms and power spectrums . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 159 4.4 Subjective evaluation … of machine learning methods. The …","https://orbi.uliege.be/bitstream/2268/238507/1/Nonlinear-Modeling-of-the-Guitar-Signal-Chain_PhD-Thesis_Schmitz-Thomas-2019_color_V1.2.pdf","https://scholar.google.com/scholar?q=related:eStVFQdMbC4J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
11,"M Schmitt, B Schuller","Recognising guitar effects-which acoustic features really matter?",2017,"INFORMATIK 2017","dl.gi.de","https://dl.gi.de/items/7bb35456-dee4-42f2-ad3c-f11ce33a0a07","https://scholar.google.com/scholar?cites=16947400845192739111&as_sdt=2005&sciodt=2007&hl=en",20,"2025-12-14 08:01:17","","","","",,,,,11,1.38,6,2,8,"Abstract: The recognition of audio effects employed in recordings of electric guitar or bass … -art acoustic features for the task of automatic guitar effect recognition. The usage of functionals…","https://dl.gi.de/bitstreams/453710b6-5d6a-408e-a8a5-49661df3b3ff/download","https://scholar.google.com/scholar?q=related:JzneC0dDMesJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
